Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
TRX/Suspension Trainer Hamstring Curl,"Functional Strength, Core",18-55,"Increase overall strength, Rehabilitation & Injury prevention",Lower Body (Hamstrings/Glutes),"Acute hamstring strain, severe low back pain",Level 5 – Adaptive Advanced,"Suspension Trainer, Mat",3,12-Aug,8-7,90 seconds,Isolated Hamstring Strength & Core Demands,"1. Lie on your back, place heels in the foot cradles of the TRX, starting with knees bent. 2. Lift hips into a bridge. Slowly extend legs straight out (avoiding hip drop). 3. Slowly curl heels back in toward the glutes, lifting hips higher at the end.",Keep your hips lifted and level throughout the entire range of motion. Control the eccentric phase (leg extension).,
Wall Sit (Deep Depth),Functional Strength,18-60,Increase overall strength,Lower Body (Quads/Glutes),"Acute knee pain, unmanaged high blood pressure",Level 4 – Active Wellness,"Wall, Bodyweight",3,Hold 60-90 seconds,8-7,90 seconds,Quad Endurance & Isometric Strength,1. Place back against the wall. Walk feet out and slide down until your hips are below your knees. 2. Ensure your thighs are slightly below parallel to the floor (deep squat position). 3. Hold the position rigidly.,Maintain constant tension in the quads and keep your back flat against the wall.,
Dumbbell Pullover (Serratus Focus),"Posture, Stability",All Ages,"Improve Posture and Balance, Rehabilitation & Injury prevention",Upper Body (Serratus Anterior/Lats),"Acute shoulder impingement, lower back pain",Level 3 – Moderate / Independent,"Dumbbell, Bench",3,15-Dec,5-4,60 seconds,Shoulder Stabilization & Rib Cage Health,"1. Lie perpendicular across a bench. Lower a dumbbell behind your head (arms slightly bent). 2. After pulling the dumbbell back over the chest, perform a final slight ""punch"" to the ceiling (protraction). 3. This small extra reach engages the serratus anterior.",Keep the arms slightly bent and focus on the small forward reach (protraction) at the top of the movement.,
Seated Dumbbell Bicep Curl (Supported),Functional Strength,60+,"Increase overall strength, Rehabilitation & Injury prevention",Upper Body (Biceps),"Acute elbow or wrist pain, shoulder instability",Level 2 – Beginner Functional,"Dumbbell, Chair (with back rest)",3,10-12 / side,5-4,60 seconds,Isolated Bicep Strength & Stability,"1. Sit in a chair with back support. Hold a dumbbell in one hand, palm up. 2. Keep the elbow tight to your side and the upper arm resting against the torso. 3. Curl the weight up toward the shoulder and slowly lower.",Use the backrest and torso for support to eliminate momentum (cheating). Focus on the contraction.,
Ankle Circles (Seated),"Mobility, Rehabilitation",60+,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility",Lower Body (Ankles),"Acute ankle sprain, severe arthritis",Level 1 – Assisted / Low Function,Sturdy Chair,3,10 circles / direction / side,2-1,30 seconds,Ankle Joint Health & Range of Motion,"1. Sit tall in a chair. Lift one foot slightly off the floor. 2. Slowly trace a large circle with the ankle/foot, moving through the full range of motion. 3. Complete all circles in one direction, then reverse. Switch feet.",Keep the shin and knee still. The movement should be concentrated only at the ankle joint.,
Cobra Pose (Bhujangasana),"Yoga, Flexibility",All Ages,"Improve Posture and Balance, Reduce Stress",Full Body (Spine/Chest),"Acute low back pain, pregnancy (modify)",Level 2 – Beginner Functional,Mat,3,Hold 15-30 seconds,3-2,30 seconds,Gentle Spinal Extension & Chest Opening,"1. Lie face down, hands under shoulders, elbows tucked in. 2. Press through hands and feet, lifting the chest gently off the floor (using mostly back muscles). 3. Keep the neck long and shoulders away from ears. Keep hips on the floor.","Lift with your back muscles, not your arms. The lift should be low and comfortable for the low back.",
Kneeling Cable Anti-Rotation Press (Hold),"Core (Spine-Friendly), Stability",18-60,"Increase overall strength, Stability",Core (Anti-Rotation),"Acute spinal disc injury, severe knee pain (use cushion)",Level 4 – Active Wellness,Cable Machine/Resistance Band,3,Hold 15-20 seconds / side,8-7,60 seconds,Core Bracing Endurance & Anti-Twist Power,1. Kneel perpendicular to the cable anchor (chest height). Grip handle with both hands. 2. Press arms straight out from your chest and hold the arms extended. 3. Fight the rotational pull rigidly. Maintain tension and no movement in the torso.,Ensure your body forms a straight line from head to kneeling knee. Do not let the arms move once extended.,
Single-Leg Romanian Deadlift (Bodyweight),"Functional Strength, Balance",All Ages,"Increase overall strength, Balance","Lower Body, Core","Acute knee pain, severe hamstring tightness",Level 3 – Moderate / Independent,Bodyweight,3,10-12 / leg,6-5,60 seconds,Hip Hinge Patterning & Stability,"1. Stand on one leg. Hinge at the hip, letting your torso drop toward the floor. 2. Extend the non-standing leg straight out behind you, maintaining a flat back. 3. Drive through the standing heel and squeeze the glute to return to standing.",Focus on keeping your hips level (not twisting). Only hinge as far as you can maintain a flat back.,
Seated Single-Arm Dumbbell Shoulder Press,"Functional Strength, Stability",18-55,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute shoulder instability, severe low back pain",Level 4 – Active Wellness,"Free Weights (Dumbbell), Bench (Back Support)",3,8-12 / side,7-6,60 seconds,Shoulder Isolation & Trunk Stabilization,"1. Sit on a bench with back support. Hold one dumbbell racked at shoulder height. 2. Press the dumbbell straight overhead. 3. Slowly lower the weight, controlling the lateral forces. Use the free hand to brace the core if needed.",Keep your core tight and back pressed against the support. Avoid leaning away from the pressing side.,
"Hip Adduction (Side-Lying, Bodyweight)","Functional Strength, Rehabilitation",All Ages,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Inner Thigh),"Acute knee pain, groin strain",Level 2 – Beginner Functional,Mat,3,15-20 / side,4-3,45 seconds,Inner Thigh Isolation & Knee Support,"1. Lie on your side. Cross the top leg over the bottom leg, planting the top foot on the floor in front of the bottom knee. 2. Keep the bottom leg straight. Slowly lift the bottom leg up toward the ceiling. 3. Slowly lower the bottom leg back down without letting it rest.",Keep the bottom leg straight and rotate the hip slightly inward to engage the adductors effectively.,
Box Jump (Step Down Only),"Functional Strength, Rehabilitation",60+,"Increase overall strength, Rehabilitation & Injury prevention",Lower Body,"Acute knee pain, severe dizziness",Level 2 – Beginner Functional,Low Box/Step,3,8-10 / leg,5-4,60 seconds,Eccentric Control & Joint Stabilization,"1. Stand on a low box or step. Step one foot to the edge. 2. Slowly lower yourself down, controlling the descent fully until the foot lightly touches the floor. 3. Step back up to the box and repeat with the same leg.",Make the descent as slow as possible (3-5 seconds down). Avoid letting the knee cave inward during the lowering phase.,
Seated Dumbbell Overhead Press (Neutral Grip),Functional Strength,18-60,Increase overall strength,Upper Body,"Acute shoulder instability, acute low back pain",Level 4 – Active Wellness,"Free Weights (Dumbbells), Bench (Back Support)",3,12-Aug,8-7,90 seconds,Shoulder Strength (Less Impingement Risk),"1. Sit upright with back support. Hold dumbbells racked, palms facing each other (neutral grip). 2. Press the dumbbells straight overhead. 3. Slowly lower the weights back to the start.",Ensure your core is braced. The neutral grip can be gentler on the shoulders than the standard grip.,
Lying Tricep Extension (Skullcrushers),Functional Strength,18-55,Increase overall strength,Upper Body (Triceps),"Acute elbow pain, wrist pain",Level 5 – Adaptive Advanced,"Dumbbells, Bench",3,12-Aug,9-8,90 seconds,Maximal Tricep Length & Isolation,"1. Lie on a bench, holding dumbbells straight up over your chest. 2. Keeping upper arms vertical (or angled slightly back), slowly bend elbows to lower the dumbbells toward your ears/head. 3. Forcefully extend the arms, squeezing the triceps.",Tuck the elbows in slightly and keep them pointing forward. Use a spotter or lighter weight for safety over the face.,
Standing Hip Internal Rotation (Bodyweight),"Mobility, Rehabilitation",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body (Hips),"Acute hip joint pain, knee instability",Level 3 – Moderate / Independent,"Bodyweight, Wall/Chair",3,10-15 / leg,4-3,30 seconds,Hip Capsule Mobility & Knee Tracking,"1. Stand on one leg (use support if needed). Lift the opposite knee up to 90 degrees. 2. Keeping the knee bent, slowly rotate the lower leg inward (foot moves out) and outward (foot moves in). 3. Only move within a pain-free range.",Keep your pelvis level and your torso stable. The movement should be concentrated at the hip joint.,
Half-Kneeling Band Chest Press,"Functional Strength, Stability",18-60,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute knee pain (use cushion), shoulder pain",Level 4 – Active Wellness,Resistance Band (Long),3,10-12 / side,7-6,60 seconds,Core Anti-Rotation & Unilateral Press,"1. Kneel in a half-kneeling position, facing away from the band anchor (chest height). 2. Hold the band handle in the hand corresponding to the front knee. Press the arm straight forward. 3. Slowly resist the band as it pulls the arm back to the chest.",Squeeze the glute of the back leg to stabilize the pelvis and prevent rotational movement.,
Supported Single-Leg Deadlift (Bodyweight),"Functional Strength, Balance",60+,"Rehabilitation & Injury prevention, Improve Posture and Balance","Lower Body, Core","Severe dizziness, acute knee/hip pain",Level 1 – Assisted / Low Function,Wall/Sturdy Furniture,3,8-10 / leg,3-2,45 seconds,Basic Hinge Patterning & Stability,"1. Stand on one leg next to a wall/chair for support. Keep a slight bend in the standing knee. 2. Hinge forward at the hip, extending the free leg straight back. Use light fingertip support. 3. Return to standing. Keep the hinge small and controlled.",Maintain a flat back. Use the support for stability and focus on the hinge motion in the hip.,
Dumbbell Romanian Deadlift (Single Dumbbell),Functional Strength,18-60,Increase overall strength,Lower Body (Hamstrings/Glutes),"Acute low back pain, unhealed spinal disc injury",Level 4 – Active Wellness,Free Weights (Dumbbell),3,12-Oct,8-7,90 seconds,Safe Hinge Patterning & Glute Focus,"1. Stand, holding one dumbbell vertically with both hands in front of your thighs. 2. Hinge at the hips, pushing glutes back, allowing the dumbbell to track down the legs. 3. Stop at mid-shin or when stretch is felt. Squeeze glutes to stand up.","Maintain a flat, neutral spine. The dumbbell helps ensure the load is centered and managed.",
Kneeling Hip Flexor Mobilization (Forward/Back),"Mobility, Flexibility",All Ages,"Improve Flexibility & Mobility, Posture","Lower Body, Core","Acute knee pain, recent hip surgery",Level 3 – Moderate / Independent,Mat/Pillow,3,10-12 rocks / side,4-3,30 seconds,Dynamic Hip Flexor & Groin Stretch,"1. Start in a deep half-kneeling lunge position (front knee over ankle). 2. Gently rock the hips straight forward until a stretch is felt, then rock the hips back over the rear knee. 3. Move back and forth smoothly for reps.",Keep your torso upright and avoid arching the low back. The movement should be a gentle rock.,
Reverse Crunch (Legs Vertical),Core (Spine-Friendly),18-55,Increase overall strength,Core (Lower Abs),"Acute spinal disc injury, unhealed hernia",Level 4 – Active Wellness,Mat,3,15-Dec,7-6,60 seconds,Lower Abdominal Isolation,"1. Lie on your back, legs straight up (perpendicular to the floor). Hands flat on the floor or behind your head. 2. Gently curl the pelvis up, lifting the tailbone and lower back slightly off the floor. 3. Slowly lower the hips back down with control.","Keep the legs vertical and focus on the small, upward pelvic curl, not swinging the legs.",
Dumbbell Chest Supported Reverse Fly,"Posture, Stability",All Ages,"Improve Posture and Balance, Increase overall strength",Upper Body (Rear Delts/Traps),"Acute shoulder pain, rotator cuff tear",Level 4 – Active Wellness,"Dumbbells, Incline Bench",3,15-Dec,6-5,60 seconds,Rear Deltoid Isolation & Posture,"1. Lie face down on an incline bench, chest supported. Hold light dumbbells underneath. 2. Raise arms out to the sides in an arc, squeezing the shoulder blades together. 3. Slowly lower back down.",Keep your head neutral and press your chest into the bench. Avoid using momentum.,
Seated Single-Arm Dumbbell Row (No Bench),Functional Strength,60+,"Increase overall strength, Rehabilitation & Injury prevention",Upper Body,"Acute shoulder pain, low back pain",Level 2 – Beginner Functional,"Dumbbell, Chair",3,10-12 / side,5-4,60 seconds,Back Strength & Postural Balance,"1. Sit on a chair. Lean forward, supporting the non-working arm on the knee. Hold a dumbbell in the opposite hand. 2. Pull the weight to the chest, squeezing the shoulder blade toward the spine. 3. Slowly lower the weight back down with control.",Maintain a flat back and keep the torso stable. Use the support arm to help stabilize the core.,
Lateral Leg Swings (Dynamic),"Mobility, Warm-up",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body (Hips/Inner/Outer Thigh),"Acute hip joint pain, groin strain",Level 3 – Moderate / Independent,"Bodyweight, Wall/Chair",3,15-20 / side,3-2,30 seconds,Dynamic Hip Abduction & Adduction,1. Stand near a support. Balance on one leg. 2. Swing the opposite leg out to the side and then across the body in a controlled arc. 3. Maintain an upright torso and only swing as high as comfortable.,Keep your torso stable and avoid tilting or leaning excessively with the movement.,
Wall Push-Up (Wide Grip),Functional Strength,60+,"Increase overall strength, Rehabilitation & Injury prevention",Upper Body (Chest/Shoulders),"Acute wrist pain, unhealed chest injury",Level 1 – Assisted / Low Function,Wall,3,15-Dec,3-2,30 seconds,Gentle Chest Activation & Shoulder Mobility,"1. Stand facing a wall. Place hands much wider than shoulder-width on the wall. 2. Step feet back until the body is in a slight incline. 3. Lower the chest toward the wall, letting the elbows flare out slightly. Push back strongly.",Keep your body straight from head to heels. The wide grip targets the chest more than a standard wall push-up.,
Standing Oblique Side Bend (Bodyweight),Core (Spine-Friendly),All Ages,"Increase overall strength, Improve Posture and Balance",Core (Obliques),"Acute low back pain, severe scoliosis",Level 2 – Beginner Functional,Bodyweight,3,12-15 / side,3-2,30 seconds,Gentle Lateral Flexion & Spinal Mobility,"1. Stand tall, feet shoulder-width apart. Place one hand behind your head. 2. Slowly bend your torso directly to the side, lowering the hand down the opposite thigh. 3. Use the opposite oblique to pull your torso back up to center.",Avoid leaning forward or backward. Keep the movement purely side-to-side and controlled.,
Dumbbell Farmer's Walk (Single Arm),"Functional Strength, Stability",18-60,"Increase overall strength, Improve Posture and Balance","Full Body, Core (Anti-Lateral)","Unmanaged hernia, severe vertigo",Level 5 – Adaptive Advanced,Free Weights (Dumbbell/KB),3,Walk 30-45 seconds / side,9-8,90 seconds,Maximal Anti-Lean Core & Grip Strength,"1. Stand tall, holding one very heavy dumbbell/KB in only one hand. 2. Walk slowly and deliberately, focusing on keeping your shoulders and hips perfectly level. 3. Resist the tendency for the torso to lean toward the opposite side.",Maintain perfect vertical posture. Use the heaviest weight you can control without side-bending.,
Pike Push-Up (Hands Elevated),Functional Strength,18-50,Increase overall strength,Upper Body (Shoulders/Triceps),"Acute wrist pain, severe shoulder impingement",Level 4 – Active Wellness,Boxes/Blocks,3,12-Aug,8-7,60 seconds,Increased Range Overhead Pressing,"1. Place hands on elevated blocks or dumbbells. Hips are pushed high (inverted 'V' shape). 2. Lower the top of your head toward the floor between your hands, maintaining the pike. 3. Push back up forcefully, extending the arms.",Control the descent. Elevating the hands increases the depth and range of motion for the shoulders.,
Banded Glute Kickback (Kneeling),"Functional Strength, Rehabilitation",All Ages,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Glutes),"Acute knee pain (use cushion), severe low back pain",Level 3 – Moderate / Independent,Resistance Band (Mini),3,15-20 / leg,5-4,45 seconds,Glute Isolation & Hip Extension,"1. Start on hands and knees. Loop a mini-band around one foot and the opposite knee. 2. Push the banded foot straight back and slightly up toward the ceiling, contracting the glute. 3. Slowly lower the foot back to the start. Keep the foot flexed.",Keep your back flat and avoid excessive arching of the low back as you kick back.,
Yoga: Chair Pose (Utkatasana),"Functional Strength, Yoga",All Ages,"Increase overall strength, Improve Posture and Balance","Lower Body, Core","Acute knee pain, recent hip replacement",Level 3 – Moderate / Independent,Bodyweight,3,Hold 45-60 seconds,6-5,60 seconds,Isometric Quad Endurance & Core,"1. Stand tall, feet together or hip-width apart. Raise arms overhead (or hands to chest). 2. Sit back as if sitting in a chair, keeping the chest lifted and core engaged. 3. Hold the deep squat position.",Keep the weight in your heels. Try to see your toes past your knees to ensure good squat depth.,
Supported Single-Leg Squat (TRX/Band),"Functional Strength, Stability",18-60,"Increase overall strength, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee pain, ankle instability",Level 4 – Active Wellness,Suspension Trainer/Band,3,8-10 / side,7-6,60 seconds,Unilateral Leg Strength & Balance Assist,"1. Stand on one leg. Hold TRX handles or resistance band ends for support. 2. Slowly squat down on the standing leg, using the handles only as needed for balance/stability. 3. Drive through the heel to stand back up.",The straps/band should only be used for minimal assistance; the standing leg does the majority of the work.,
Seated Straight Leg Raise (with Hold),"Functional Strength, Rehabilitation",60+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Quads/Hip Flexors),"Acute knee pain, severe sciatica",Level 1 – Assisted / Low Function,Sturdy Chair,3,10-12 reps (3 sec hold) / leg,4-3,30 seconds,Quad/Hip Flexor Endurance,"1. Sit upright near the edge of a chair. 2. Straighten one knee, lifting the foot a few inches off the floor. Contract the thigh muscles and hold for 3 seconds. 3. Slowly lower the foot back down.",Sit completely upright and avoid leaning back. Focus on the squeeze in the front of the thigh.,
Dumbbell Shrug (Standing),Functional Strength,18-60,Increase overall strength,Upper Body (Traps),"Acute neck pain, shoulder impingement",Level 4 – Active Wellness,Free Weights (Dumbbells),3,15-Oct,7-6,60 seconds,Upper Trapezius Strength & Size,"1. Stand tall, holding heavy dumbbells at your sides (palms facing in). 2. Elevate your shoulders straight up toward your ears as high as possible. 3. Hold the squeeze briefly, then slowly lower the weights back down.",Keep your head neutral and your arms straight. Do not roll your shoulders forward or backward.,
"Side Plank (Straight Leg, Foot on Step)","Core (Spine-Friendly), Stability",18-50,"Increase overall strength, Stability",Core (Obliques),"Acute shoulder pain, recent hip surgery",Level 5 – Adaptive Advanced,"Mat, Step/Bench",3,Hold 45-60 seconds / side,8-7,60 seconds,Maximal Oblique Endurance & Spinal Stiffness,1. Lie on your side. Prop up on your forearm. Place the top foot on an elevated step or bench. 2. Lift hips high until the body forms a straight line from head to heels. 3. Hold the position rigidly.,Maintain the straight line. Press the top hip forward to keep the core engaged and hips stacked.,
Lying Pec Minor Stretch,"Flexibility, Posture",All Ages,"Improve Flexibility & Mobility, Reduce Stress",Upper Body (Chest/Shoulders),"Acute shoulder pain, unhealed sternum fracture",Level 2 – Beginner Functional,"Foam Roller, Mat",2,Hold 60 seconds / side,2-1,15 seconds,Shoulder Girdle Protraction Correction,1. Lie on your back on the floor. Bring one arm out at a 90-degree angle (like a goalpost). 2. Use the opposite hand to gently press the bent elbow toward the floor. 3. Feel the stretch deep in the front of the shoulder/chest. Hold and breathe.,Avoid pressing hard enough to cause shoulder joint pain. The stretch should be gentle and passive.,
Seated Dumbbell Triceps Kickback,Functional Strength,18-60,"Increase overall strength, Rehabilitation & Injury prevention",Upper Body (Triceps),"Acute elbow pain, severe shoulder instability",Level 3 – Moderate / Independent,"Dumbbell, Bench",3,12-15 / side,6-5,60 seconds,Triceps Isolation & Contraction,"1. Sit on a bench. Hinge forward with a flat back. Hold a dumbbell in one hand. 2. Pin the upper arm parallel to the floor. Extend the elbow, straightening the arm backward. 3. Squeeze the tricep hard. Slowly bend the elbow back to the start (90 degrees).",Keep the upper arm stationary throughout. The movement should occur only at the elbow joint.,
Banded Forward Walk (Resistance),"Functional Strength, Stability",40+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Quads/Glutes),"Acute knee pain, severe ankle stiffness",Level 3 – Moderate / Independent,Resistance Band (Mini),3,Walk 30-45 seconds,5-4,45 seconds,Quad/Glute Endurance & Gait Stability,"1. Place a mini-band around your ankles (or knees). Get into a slight athletic stance. 2. Walk forward, maintaining constant tension on the band by driving your knees slightly outward. 3. Take small, controlled steps, focusing on smooth gait mechanics.",Do not let the band pull your knees inward. Focus on pushing the knees out against the tension.,
Seated Single-Arm Cable Row (Back Support),"Functional Strength, Posture",All Ages,"Increase overall strength, Improve Posture and Balance",Upper Body (Back),"Acute elbow pain, severe thoracic kyphosis",Level 4 – Active Wellness,"Cable Machine, Bench",3,10-12 / side,7-6,60 seconds,Back Isolation & Core Support,"1. Sit on a bench placed on the cable row machine, facing the machine. Back is supported. 2. Grip the handle in one hand. Pull the handle back toward your side/ribcage, squeezing the back muscle. 3. Slowly let the weight pull the arm forward to full stretch.",Use the back support to eliminate torso rotation. Focus entirely on the back muscle pulling the elbow.,
Supine Pelvic Lift (Feet on Bench),"Functional Strength, Core",60+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Glutes/Hamstrings),"Acute low back pain, knee ligament injury",Level 2 – Beginner Functional,"Bench/Chair, Mat",3,15-Dec,4-3,45 seconds,Glute/Hamstring Activation & Reduced Knee Strain,"1. Lie on your back, knees bent, feet elevated on a bench or chair. 2. Drive through the heels to lift the hips off the floor into a bridge. 3. Squeeze the glutes and hamstrings at the top. Slowly lower back down.",Keep the low back flat at the start. The feet being elevated places more emphasis on the hamstrings.,
Towel Assisted Dead Bug,"Core (Spine-Friendly), Stability",All Ages,"Rehabilitation & Injury prevention, Stability",Core,"Acute spinal disc injury, unhealed abdominal separation",Level 3 – Moderate / Independent,"Mat, Towel",3,10-12 / side,5-4,60 seconds,Low Back Engagement & Anti-Arching,"1. Lie on back, knees bent 90 degrees, arms straight up. Place a folded towel under the low back. 2. Simultaneously extend opposite arm/leg. 3. Focus on crushing the towel into the floor with the low back to prevent arching.","If the towel lifts or you feel strain, reduce the range of motion of the arm or leg immediately.",
Yoga: Triangle Pose (Trikonasana),"Flexibility, Yoga",18-60,"Improve Flexibility & Mobility, Improve Posture and Balance","Full Body, Core","Acute hip pain, severe knee ligament issues",Level 4 – Active Wellness,Bodyweight,2,Hold 45-60 seconds / side,5-4,30 seconds,Lateral Spinal Stretch & Hip Opening,"1. Stand with feet wide apart. Turn front foot out 90 degrees. 2. Hinge at the front hip, reaching the front hand down the leg (or to a block). 3. Extend the back arm straight up, opening the chest to the side wall. Look up if comfortable.",Keep your front leg strong (not locked). The reach should maintain the length of both sides of the torso.,
"Barbell Overhead Press (Standing, Light Load)","Functional Strength, Stability",18-55,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute shoulder instability, severe low back pain",Level 5 – Adaptive Advanced,"Barbell, Rack",3,8-Jun,9-8,120 seconds,Maximal Overhead Strength & Core Bracing,"1. Stand tall, feet hip-width apart. Grip the bar slightly outside shoulders, resting at the front of the shoulders. 2. Brace the core and glutes. Press the bar straight overhead, pushing the head slightly forward at the top. 3. Slowly lower the bar back to the starting rack position.","Brace your entire body (glutes, core). Avoid leaning backward (arching the low back) to complete the lift.",
Lateral Hop (Low Amplitude),"Functional Strength, Stability",40+,"Rehabilitation & Injury prevention, Balance","Lower Body, Core","Acute knee/ankle pain, severe osteoporosis",Level 3 – Moderate / Independent,Bodyweight,3,10-12 jumps / side,6-5,60 seconds,Ankle/Knee Stability & Controlled Landing,"1. Stand on one leg. Perform a small, controlled jump sideways onto the opposite foot. 2. Land softly and stabilize immediately before repeating the jump back in the opposite direction. 3. Keep the jump height and distance minimal.","Focus on the soft landing and quick stabilization. This is about control, not distance or height.",
Seated Dumbbell Hammer Curl,Functional Strength,All Ages,Increase overall strength,Upper Body (Forearms/Biceps),"Acute wrist pain, severe tennis elbow",Level 3 – Moderate / Independent,"Free Weights (Dumbbells), Bench",3,12-Oct,7-6,60 seconds,Forearm & Bicep Thickness,"1. Sit upright, holding dumbbells at sides, palms facing each other (hammer grip). 2. Curl the weights up toward the shoulders, maintaining the hammer grip. 3. Slowly lower the weights back to the start.",Keep your upper arms stationary and close to your body. Avoid leaning back or rocking.,
Standing Hip Flexor Stretch (Lunge Position),"Flexibility, Posture",All Ages,"Improve Flexibility & Mobility, Posture","Lower Body, Core","Acute knee pain, recent hip surgery",Level 2 – Beginner Functional,Bodyweight,2,Hold 45-60 sec / side,3-2,15 seconds,Psoas & Quad Length,"1. Step into a low lunge position (one knee bent, one leg straight back). 2. Tuck the pelvis strongly forward (posterior tilt) and squeeze the glute of the back leg. 3. Feel the stretch high in the front of the back hip/thigh. Hold and breathe.",The pelvic tuck is essential to isolate the hip flexor. Avoid arching the low back.,
Reverse Crunch (Pelvic Tilt Focus),"Core (Spine-Friendly), Rehabilitation",All Ages,"Rehabilitation & Injury prevention, Stability",Core (Lower Abs),"Acute spinal disc injury, unhealed hernia",Level 2 – Beginner Functional,Mat,3,15-20,4-3,45 seconds,Basic Low Abdominal Control,"1. Lie on your back, knees bent, feet flat. Hands flat on the floor. 2. Gently perform a slow pelvic tilt (tucking the tailbone under) to flatten the low back. 3. Hold for 1 second, then slowly release. The hips barely lift off the floor.",The movement is minimal. Focus on the deep abdominal contraction causing the pelvic tilt.,
TRX/Suspension Trainer Row (High Angle),"Functional Strength, Posture",18-60,"Increase overall strength, Improve Posture and Balance",Upper Body (Back),"Acute shoulder pain, elbow pain",Level 3 – Moderate / Independent,Suspension Trainer,3,15-Dec,6-5,60 seconds,Bodyweight Back Strength & Postural Pull,"1. Stand facing the anchor, holding the handles. Walk feet back so your body is slightly leaning back (high angle). 2. Pull your chest toward the handles, driving the elbows back. Squeeze shoulder blades. 3. Slowly extend the arms back to the starting lean.","Keep your body straight (plank) throughout the movement. The more vertical the body, the easier the row.",
Dumbbell Romanian Deadlift (Elevated Deficit),Functional Strength,18-55,"Increase overall strength, Flexibility & Mobility",Lower Body (Hamstrings/Glutes),"Acute low back pain, severe hamstring tightness",Level 5 – Adaptive Advanced,"Dumbbells, Blocks/Plates",3,10-Aug,9-8,90 seconds,Maximal Hamstring Stretch & Strength,"1. Stand with feet slightly elevated on blocks or plates, holding dumbbells. 2. Hinge at the hips, lowering the weights below the level of your feet for increased stretch. 3. Drive through the heels and squeeze glutes to stand.",Maintain a perfectly flat back. The deficit requires excellent hamstring flexibility and control.,
Side-Lying Hip Abduction (Straight Leg),"Functional Strength, Rehabilitation",60+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Glute Medius),"Acute hip joint pain, recent hip surgery",Level 1 – Assisted / Low Function,Mat,3,15-20 / side,3-2,30 seconds,Glute Medius Activation & Joint Safety,"1. Lie on your side, body straight. Place the bottom arm under the head for support. 2. Slowly lift the top leg a few inches toward the ceiling. 3. Slowly lower the leg back down with control. Keep the leg straight.",Ensure your hips are stacked and do not roll backward. The movement is small and focused on the side of the hip.,
Yoga: Half Lord of the Fishes Pose (Ardha Matsyendrasana),"Flexibility, Yoga",All Ages,"Improve Flexibility & Mobility, Reduce Stress",Full Body (Spine/Hips),"Acute spinal disc injury, pregnancy (modify/avoid)",Level 3 – Moderate / Independent,Mat,2,Hold 45-60 seconds / side,4-3,30 seconds,Deep Spinal Twist & Detoxification,"1. Sit with legs extended. Bend one knee, stepping the foot over the opposite thigh. 2. Place the bent elbow on the outside of the raised knee. Place the opposite hand behind the tailbone. 3. Gently twist the torso to look over the back shoulder.",Sit tall and lengthen the spine before twisting. Avoid rounding the lower back during the twist.,
Dumbbell Front Raise (Single Arm),Functional Strength,18-55,Increase overall strength,Upper Body (Front Deltoid),"Acute shoulder impingement, severe neck pain",Level 4 – Active Wellness,Free Weights (Dumbbell),3,10-12 / side,7-6,60 seconds,Anterior Shoulder Isolation & Stability,"1. Stand tall, holding a dumbbell in one hand. 2. Slowly lift the dumbbell straight up in front of you until it reaches shoulder height. 3. Slowly lower the weight back down with control. Avoid leaning backward.",Use a light weight. Keep the movement controlled and avoid swinging your body to lift the weight.,
Seated Single-Arm Dumbbell Hammer Press,"Functional Strength, Stability",18-55,"Increase overall strength, Improve Posture and Balance",Upper Body (Shoulders/Triceps),"Acute shoulder instability, elbow pain",Level 4 – Active Wellness,"Free Weights (Dumbbell), Bench (Back Support)",3,8-10 / side,8-7,60 seconds,Shoulder Strength (Neutral Grip Advantage),"1. Sit with back support. Hold one dumbbell racked at shoulder height, palm facing in (hammer grip). 2. Press the dumbbell straight overhead. 3. Slowly lower, controlling the weight.",The hammer grip can be more comfortable for individuals with shoulder impingement issues. Maintain core stability.,
Mini-Band External Rotation (Standing),"Posture, Stability",All Ages,"Rehabilitation & Injury prevention, Improve Posture and Balance",Upper Body (Rotator Cuff),"Acute shoulder instability, biceps tendonitis",Level 2 – Beginner Functional,Resistance Band (Mini),3,15-20 / side,4-3,45 seconds,Rotator Cuff Endurance & Stability,"1. Stand, holding a mini-band taut between hands, elbows bent 90 degrees, forearms facing each other. 2. Keeping the upper arms pinned to the side, slowly pull the hands apart against the band tension. 3. Slowly return to the start.",Keep your upper arms locked at your sides. The movement should be small and isolated to external rotation.,
